year,location,precipitation_mm,temperature_mean_c,relative_humidity_pct
2015,Beja,429.59999999999997,17.7786301369863,68.6082191780822
2015,Bizerte,516.3,18.893698630136985,74.04109589041096
2015,Gabes,119.4,20.660821917808217,62.487671232876714
2015,Kairouan,223.0,19.784383561643835,57.14794520547945
2015,Sfax,171.1,20.05369863013699,66.95068493150686
2015,Sousse,276.8,19.9013698630137,62.175342465753424
2015,Tunis,374.9,19.024383561643834,69.07397260273973
2016,Beja,400.4,17.934699453551914,70.23224043715847
2016,Bizerte,489.3,19.09863387978142,74.47267759562841
2016,Gabes,122.0,21.368579234972678,60.83606557377049
2016,Kairouan,323.6,20.05983606557377,58.822404371584696
2016,Sfax,168.5,20.61174863387978,66.07377049180327
2016,Sousse,389.0,20.157103825136613,63.63934426229508
2016,Tunis,381.9,19.257923497267758,69.76502732240438
2017,Beja,416.7,17.89178082191781,63.83561643835616
2017,Bizerte,492.1,18.840273972602738,69.86849315068493
2017,Gabes,254.79999999999998,20.252876712328767,59.75890410958904
2017,Kairouan,242.2,20.106575342465753,55.16712328767123
2017,Sfax,162.0,19.695616438356165,63.83287671232877
2017,Sousse,280.5,19.287945205479453,63.586301369863016
2017,Tunis,336.5,18.695342465753424,67.8082191780822
2018,Beja,535.4,17.715890410958906,69.05205479452054
2018,Bizerte,731.9,18.88164383561644,74.94246575342466
2018,Gabes,200.5,20.843835616438355,59.441095890410956
2018,Kairouan,324.9,20.187945205479455,59.23013698630137
2018,Sfax,227.6,20.08684931506849,65.44383561643835
2018,Sousse,408.3,19.45150684931507,67.12602739726027
2018,Tunis,528.3,18.832876712328765,71.97260273972603
2019,Beja,569.2,17.64191780821918,68.11780821917809
2019,Bizerte,610.4,18.955068493150687,71.71780821917808
2019,Gabes,157.9,20.722465753424657,56.50958904109589
2019,Kairouan,348.6,20.148767123287673,57.794520547945204
2019,Sfax,204.0,19.936712328767122,63.69315068493151
2019,Sousse,447.09999999999997,19.36191780821918,65.48219178082192
2019,Tunis,462.1,18.80931506849315,70.07945205479452
2020,Beja,399.59999999999997,18.062568306010927,67.0327868852459
2020,Bizerte,551.5,19.10792349726776,73.60109289617486
2020,Gabes,205.70000000000002,20.80273224043716,61.423497267759565
2020,Kairouan,341.4,20.397540983606557,58.90983606557377
2020,Sfax,229.0,20.071311475409836,67.14480874316939
2020,Sousse,474.1,19.58907103825137,67.54371584699453
2020,Tunis,434.3,18.957377049180327,71.52459016393442
2021,Beja,421.7,18.555068493150685,64.72328767123288
2021,Bizerte,565.3,19.31616438356164,71.63013698630137
2021,Gabes,61.2,21.333698630136986,57.131506849315066
2021,Kairouan,134.5,21.083013698630136,54.11780821917808
2021,Sfax,117.0,20.406575342465754,63.1945205479452
2021,Sousse,192.4,20.078904109589043,63.30958904109589
2021,Tunis,367.0,19.214246575342464,69.56712328767124
2022,Beja,341.6,19.045479452054796,62.84931506849315
2022,Bizerte,370.2,19.88,70.93698630136986
2022,Gabes,111.4,21.37945205479452,57.723287671232875
2022,Kairouan,217.8,21.314246575342466,53.465753424657535
2022,Sfax,139.2,20.752602739726026,63.657534246575345
2022,Sousse,243.7,20.493698630136986,62.28493150684932
2022,Tunis,275.4,19.83671232876712,67.79452054794521
2023,Beja,443.6,18.65287671232877,64.67123287671232
2023,Bizerte,546.7,19.66191780821918,71.3945205479452
2023,Gabes,136.6,21.218630136986302,56.37808219178082
2023,Kairouan,295.2,21.213150684931506,53.86027397260274
2023,Sfax,197.7,20.542465753424658,63.487671232876714
2023,Sousse,352.9,20.51123287671233,61.46027397260274
2023,Tunis,433.1,19.75041095890411,66.73424657534247
2024,Beja,406.0,18.65464480874317,66.73770491803279
2024,Bizerte,454.8,19.895628415300546,71.02185792349727
2024,Gabes,222.6,21.767486338797813,57.90163934426229
2024,Kairouan,235.1,21.35054644808743,56.39617486338798
2024,Sfax,260.4,20.86775956284153,64.4207650273224
2024,Sousse,283.0,20.503005464480875,63.93715846994535
2024,Tunis,418.1,19.85928961748634,68.20491803278688
2025,Beja,444.3,17.963287671232877,71.22191780821917
2025,Bizerte,573.3,19.584657534246574,74.30410958904109
2025,Gabes,208.8,21.42219178082192,59.293150684931504
2025,Kairouan,301.0,21.153150684931507,58.09041095890411
2025,Sfax,335.3,20.805753424657535,65.22191780821917
2025,Sousse,354.6,20.377260273972603,65.1013698630137
2025,Tunis,425.3,19.85095890410959,69.33972602739726
2026,Beja,154.4,10.282051282051283,79.82051282051282
2026,Bizerte,230.0,13.184615384615386,75.28205128205128
2026,Gabes,29.0,14.233333333333334,57.51282051282051
2026,Kairouan,86.0,13.302564102564101,64.6923076923077
2026,Sfax,24.0,13.784615384615385,64.23076923076923
2026,Sousse,85.8,13.207692307692309,67.61538461538461
2026,Tunis,216.5,12.282051282051283,75.6923076923077
